expCode;probCode;1::time;1::Difficulty;1::Confidence;1::Answer;1::Description;1::Correct;2::time;2::Difficulty;2::Confidence;2::Answer;2::Description;2::Correct;3::time;3::Difficulty;3::Confidence;3::Answer;3::Description;3::Correct;4::time;4::Difficulty;4::Confidence;4::Answer;4::Beschreibung;4::Correct;5::time;5::Difficulty;5::Confidence;5::Answer;5::Description;5::Correct;6::time;6::Difficulty;6::Confidence;6::Answer;6::Description;6::Correct;7::time;7::Difficulty;7::Confidence;7::Answer;7::Description;7::Correct;8::time;8::Difficulty;8::Confidence;8::Answer;8::Beschreibung;8:.Correct;9::time;9::Difficulty;9::Confidence;9::Answer;9::Description;9::Correct;10::time;10::Difficulty;10::Confidence;10::Answer;10::Description;10::Correct;11::time;11::Difficulty;11::Confidence;11::Answer;11::Description;11::Correct;12::time;12::Difficulty;12::Confidence;12::Answer;12::Description;12::Correct;13::time;13::Difficulty;13::Confidence;13::Answer;13::Description;13::Correct;14::time;14::Difficulty;14::Motivation;14::Answer;14::Description;14::Correct;15::time;15::Difficulty;15::Confidence;15::Answer;15::Description;15::Correct;16::time;16::Difficulty;16::Confidence;16::Answer;16::Description;16::Correct;17::time;17::Difficulty;17::Confidence;17::Description;17::Beschreibung;17::Correct;18::time;18::Difficulty;18::Confidence;18::Answer;18::Description;18::Correct;19::time;19::Difficulty;19::Confidence;19::Answer;19::Description;19::Correct;20::time;20::Difficulty;20::Confidence;20::Answer;20::Description;20::Correct;21::time;21::Difficulty;21::Confidence;21::Answer;21::Description;21::Correct;22::time;22::Difficulty;22::Confidence;22::Answer;22::Description;22::Correct;23::time;23::Difficulty;23::Confidence;23::Answer;23::Description;23::Correct;;Summe::correct;(MaximalWert:46)
peTask;anwtu;55,816;3;3;32;Sie summiert das Produkt aus zwei zahlen von denen eine von 4 bis auf 2 runtergezählt wird.;0;53,433;4;3;"1
";Sie vergleicht die Anzahl an gleichen Buchstaben in 2 verschieden Strings und gibt die anzahl gleicher buchstaben auf der konsole aus;2;73,804;3;3;"3
";Sie berechnet den ggt von 2 zahlen und gibt diesen auf der Konsole aus;2;167,618;2;3;5    7    14;Sie nimmt ein int-Array und ordnet die Zahlen nach größe.;2;134,738;3;3;"2
";Die Methode verscuht (mittels binärer Suche) zu ermitteln an welcher stelle in einem angegebenen int-Array eine best. Zahl steht.;2;73,724;2;2;"1
3
6
10";Die Methode addiert zu einer Zahl eine von 1 bis ansteigende Zahl hinzu und gibt das Ergebniss nach jeder Addition auf der Konsole aus.;2;114,537;3;2;"19
19
19";Die Methode durchläuft ein int-Array und gibt nach jeder Erhöhung des Index des Iterator die bisher höchste Zahl aus. ;1;52,5;3;3;8;Diese Methode bestimmt die Quersumme einer Zahl und gibnt sie auf der KONSOLE AUS;2;62,362;3;3;"true
";Diese Methode berechnet ob eine Zahl eine Primzahl ist und gibt true bzw. false aus wenn sie es ist bzw. nicht ist.;2;42,69;3;3;10;Diese Methode gibt von drei Zahlen die jeweils größte auf der Konsole aus.;2;47,792;3;3;8;Diese Methode berechnet die Potenz einer Zahl , num1 ist die Basis , num2 der Exponent .;2;77,426;2;2;WAHR;Diese Methode gibt aus ob eine best. String ein Annagram ist , also ob es von hinten gelesen genau so aussieht wie wenn man es von vorne liest.;2;29,88;4;3;42;Diese Methode vertauscht die Werte von zwei int vaiablen und ibt dann den Wert der variable var1 auf der Konsole aus.;2;60,897;3;3;olleH;Diese Methode nimmt einen String und verdreht ihn , macht also seinen letzen buchstaben zum ersten usw. Danach wird der String auf der Konsole ausgegeben.;2;397,041;1;2;67  69  73 81;Diese Methode berechnet das Produkt von 2 Matrizen und gibt die Elemente des Produkt dann Zeilenweise aus.;2;11,402;4;4;6;Diese Methode berechnet das arithmetische Mittel zwischen zwei zahlen und gibt dieses dann auf der KOnsole aus.;2;115,25;3;3;"Substring is contained: Java
Substring is not contained: Pascal";Diese Methode bekommt drei Strings , und checkt dann ob 2 String Substring des dritten sind. Die konsolen ausgabe gibt dann an welche Strings Substrings sind.;2;115,918;2;3;70;Diese Methode bestimmt das kgV von 2 Zahlen und gibt dieses auf der Konsole aus.;2;141,609;2;3;here Are A Bunch Of Words;Diese Methode nimmt einen String und verändert die Anfangsbuchstaben aller Wörter in diesem String auser dem ersten zu großbuchstaben;2;67,261;3;3;"100
";Diese Methode gibt eine Zahl in binär dartsellung aus.;2;65,506;2;2;4 6 1;Diese Methode tauscht die Elemente eines int-arrays so , dass die erste zahl zur letzten wird und die letzte zur ersten usw.;2;68,505;3;3;4,5;Diese Methode gibt das mittlere Elemten eines Arrays aus , wenn dieses Array eine ungerade anzahl an Elementen hat. Hat es einen gerade anzahl , so wird das arithmetische Mittel der beiden Mittleren zahlen des Arrays ausgegeben.;2;48,895;4;3;"2
6
22
14
8";Diese Methode verdoppelt die Werte die in einem best. Array gespeichert sind und geben diese dann auf der Konsole aus.;2;;43;
peTask;EOHHI;37,95;2;0;3;"variablen anlegen, durch while schleife iterieren und variable mit x multiplizieren, bei jedem durchgang x um 1 reduziert
danach ergebniss ausgeben
ergebniss: ";0;243,656;2;2;1;"länge von strings ermitteln und variable auf die länge des 
kurzen strings setzen. dann mit forschleife iterieren wenn zeichen an der stelle des iterators in
beiden worten gleich: counter +1
";2;95,599;2;2;3;variablen deklarieren, modulo berechnen, variablen zuweisung tauschen, ausgabe;1;261,189;2;3;"13
5
7";"erste forschleife bricht bei ersten verschachtelung ab, da vorgabe nicht erfüllt wird
zweite forschleife iteriert durch array und printed dieses";0;204,201;2;2;keine ausgabe da nicht in else zweig geht, if zweig trifft zu;array wird angelegt, variablen deklariert, abfrage auf verschiedene fälle, erster trifft zu. keine ausgabe;0;72,246;3;1;"1
2
3
4";variable wird mit for-schleife gefüllt und in jedem durchgang gedruckt;0;108,025;3;2;"19

";schleife läuft länge des arrays-1 durch. result wird array[iterator] zugewiesen, print;1;79,278;;;;;0;163,967;1;1;WAHR;schleife bricht nicht ab da i nicht 11 werden kann;1;65,985;4;3;10;deklarierung der variablen. dann abprüfung der fälle;1;130,394;3;2;"4
4
";anlegen der variablen, dann multiplikation so oft wie for-schleife durchlaufen wird.;0;174,443;3;2;"true
true";i wird bei jedem durchlauf der schleife um 1 erhöht, j um 1 veringert. im String word werden immre zwei zeichen an der stelle i und j verglichen. wenn diese gleich sind -> true, sonst false. false zweig wird nicht erreicht da schleife davor abbricht (word.length/2);1;54,187;3;2;42;"42 ist die antwort auf alle fragen.

variablenzuweisung und anschliessende ausgabe.";2;83,57;3;3;"olleH
";string word wird in leeren string result umgeschichtet. result wird durchlaufen so lange wie das word lang ist und mit buchstaben vom ende von word gefüllt.;2;166,347;;;"
";;0;26,096;4;4;6;zuweisung der variablen, berechnung von wert und abspeichern in result, print result;2;118,946;3;3;"substring is contained: Java
Substring is not contained: pascal";indexof gibt anfangsposition von key zurück. -1 wenn nicht vorhanden. danach apprüfung der fälle;2;114,892;2;1;"Error
";zuweisung der min und max werte, da modulo 0 nicht zutrifft keine neuzuweisung von result, else zweig trifft zu;0;119,203;;;6;"antwort zur ausgabe ist falsch.



";0;81,615;2;2;"0
0
1
";solange i größer als 0 ist wird entweder eine 0 (wenn mod2 0 ergibt) oder eine 1  wenn dies nicht zutrifft ausgegeben. bei jedem durchlauf wird i neu gesetzt als i/2;1;500,39;1;0;;;0;74,249;2;1;4,5;else zweig trifft zu. dort berechnung mit den stellen des arrays, ausgabe von b;1;244,174;2;2;"2
6
22
14
8";verdoppelung aller werte im array, dann durch iterieren und ausgabe.;2;;19;
peTask;ethal;97,839;3;4;2;Mehrfache Berechnung des Produktes zweier Zahlen;0;56,76;4;4;1;Vergleich der Buchstaben zweier Strings auf Ã?bereinstimmung an selber Stelle;2;122,281;3;3;3;Berechnung des ggT zweier Zahlen;2;129,987;3;3;5 7 14;Sortieren eines Arrays in Aufsteigender Reihenfolge (Bubblesort);2;145,481;2;3;2;Vergleich eines Keys mit Zahlen im Array, bis Ã?bereinstimmung herrscht;2;86,906;3;3;10;Aufsummieren der Zahlen 1 bis 4;2;68,859;3;4;19;Suchen der GrÃ¶Ã?ten Zahl im Array;2;122,008;3;4;8;Quersumme einer Zahl;2;87,433;3;4;WAHR;Erfolglose Suche nach echtem Teiler von 11;2;24,48;4;4;10;Ausgabe der grÃ¶Ã?ten Zahl dreier Zahlen;2;62,977;4;4;8;Berechnung von 2^3;2;105,685;4;4;WAHR;PrÃ?fung auf WÃ¶rter, die vorwÃ?rts und rÃ?ckwÃ?rts gleich sind;2;37,098;4;4;42;Vertauschen zweier Variablenwerte und Ausgabe der ersten;2;62,366;4;4;olleH;Umdrehung der Buchstaben eines Strings (RÃ?ckwÃ?rtslesen);2;514,436;1;2;"46 68
53 86";Erzeugung eines neuen Arrays aus Berechnungen der Zahlen zweier Arrays;0;17,418;4;4;6;Addition zweier Zahlen und die Division der Summe durch 2;2;76,447;4;3;"Substring is contained: Java
Substring is not contained: Pascal";Ã?berprÃ?fung zweier Strings ob sie in einem dritten vorkommen;2;82,599;4;4;70;Finden eines Teilers einer Zahl mittels Multiplikation zweier Zahlen;1;287,109;2;0;he ar a bu of wo;ZerplÃ?cken und Zusammensetzen eines Strings;0;73,714;4;4;0 0 1;PrÃ?ft ob Zahlen durch 2 teilbar sind;1;117,56;3;3;6 1 4;Vertauschen zweier Zahlen im Array;1;87,388;4;4;4,5;Addition zweier Zahlen aus einem Array und deren Division durch 2;2;51,465;4;4;2 6 22 14 8;Verdoppeln der Werte der Zahlen im Array;2;;37;
peTask;lafat;141,864;4;4;"4
12
24

";"Erstellt zwei Integer 
geht in einen Schleife
multipliziert zu 1 4 (gibt das Ergebnis als Text aus), 
danach zu 4 3 (gibt das Ergebnis als Text aus), 
danach zu 12 2 (gibt das Ergebnis als Text aus) 
und geht dann aus der schleife raus und beendet sich";0;121,631;4;4;1;"Erstellt zwei Strings der Beiden Städte und einen Integer

if-else-Abfrage: die Länge des längsten Städtenamen
wird für den Integer lenght verwendet.

vergleichen der Buchtaben der Städtenamen mit der 
Position. Falls diesse übereinstimmt wird der Counter
um eins erhöht.

danach ausgabe des Counters im Textfeld";2;193,615;3;4;3;Berechnung des ggT;2;169,753;3;4;"5
7
14";"Sortieren des Array nach der Größe der Zahlen
von der Kleinsten zur Größten ";2;181,753;2;3;"2
";"Dursucht ein geordnetes Array, ob die Keyzahl
enthalten ist.";2;146,923;3;3;"1
3
6
10";Summiert die Zahlen {0,1,2,...,n};2;193,276;4;4;19;Durchsucht ein ungeordnetes Array nach der größten Zahl;2;105,553;3;4;8;Berechnet die Quersummer einer dezimalen Zahl;2;114,806;3;4;"true
";"Schaut nach, ob der Integer ""number"" eine Primzahl ist";2;49,874;4;4;"10
";Gibt die Gößte, dreier eingegebener Zahlen, zurück;2;72,705;3;4;8;"Berechnet die Potenz zur Basis 2 mit dem Exponenten 
""num2"" (hier im Bsp. 3)";2;103,73;4;4;WAHR;Schaut nach, ob des Wort Achsensymmetrisch ist;2;34,273;4;4;42;Vertauschen von zwei Integern;2;89,089;3;4;olleH;Gibt das Wort spiegelverkehrt aus;2;540,642;1;2; 67 60 48 48;Matrizenprodukt;1;18,388;4;4;6;Durchschnitt zweier Zahlen;2;93,798;3;0;;;0;183,476;3;2;70;Berechnung des Kleinsten gemeinsamen Vielfachem;2;223,38;3;3;"Here Are A Bunch Of Words
";Schreibt die ersten Buchstaben der Wörter eines Satzes groß;2;131,828;4;4;100;Schreibt eine Dezimal- in eine Binärzahl um;2;121,715;3;2;"4
6
1
";Spiegeln des Arrays;2;107,247;2;1;"4.5
";"Summiert die beiden mittleren Zahlen und nimmt den 
Durchschnitt";2;101,627;3;3;Multipliziert jede Zahl des Arrays und gibt diese wieder aus ;"2
6
22
14
8";2;;41;
peTask;lrfoi;62,55;3;3;48;"result, das zu Beginn 1 ist, wird mit x, das zu Beginn 4 ist,
multilpliziert, dann wird x um 1 verringert, und die Funktio
solange wie x>1 ist, wiederholt. Da x immer verringert wird,
terminiert die Schleife nach 3 Durchlaeufen.";0;91,697;1;0;Hamburgrg;"Zuerst wird geprueft, ob string1 kürzer als string2 ist, wenn ja
dann wird length auf die Länge des des ersten
Strings gesetzt, ansonsten auf die des 2. strings.

Danach wird die for-schleife so oft durchlaufen, wie der 2. string
Zeichen hat.
Wenn ein Zeichen bei Index i bei beiden Strings gleich ist,
wird der Zaehler um 1 erhöht und am Ende
 ausgegeben. (Und nicht wie in meiner Antwort
 vorher das Zeichen im ersten String mit dem
 aus dem 2. String überschrieben.)

";2;178,543;1;4;3;"Zuerst wird geprueft, ob number1 < number2 ist. Wenn ja
werden die Werte von Variablen vertauscht.
Dann wird number1 modulo number2 gerechnet und
temp zugewiesnen. Falls temp nicht null ist,
bekommt number1 den Wert von number2 und
number2 wird temp. Nur wenn temp nicht
Nulll ist, wird die Schleife nochmals durchlaufen.";1;76,035;4;4;14, 5, 7;"In der ersten for-schleife wird i mit 0 initalisiert,
in der 2. dann j auf i gesetzt.
Da aber die Bedinung hier j>0 ist, wobei aber j zu
Beginn schon 0 ist, wird diese nie durchlaufen.
Am Schluss wird dann einfach das ganze Array ausgegeben.";0;330,83;0;0;5;"Solange index2 grösser gleich Index 1 ist,
wird die while-Schleife durchlaufen. Hier werden dann
beide Indexe addiert und deren Summe durch
2 geteilt und m zugewiesen. 
Wenn nun der Inhalt von Arrayposition m grösser als Key ist,
dann wird index2  m-1 zugewiesen, wenn key grösser
als der andere Wert ist, dann index1 m+1.
In allen anderen Faelllen, d.h. wenn beide gleich sind.
wird m ausgegeben und die Schleife abgebrochen.
";0;71,482;3;2;"10
";"Es wird immer das aktuelle i zum
Wert von result dazuaddiert und nach der for-Schleife,
die 4x durchlaufen wird, ausgegeben";2;36,147;4;4;19;"Die Methode durchläuft das ganze Array
und wenn der aktuelle Wert grösser als der
bisherige ist, wird result damit überschreiben.
Es wird also der grösste Wert im Array ausgegeben";2;184,297;2;3;8;"Solange number nicht 0 ist, läuft die for-Schleife.
Zurest wird in dieser number mod 10 zum alten Result
dazuaddiert und dann number durch 10 geteilt.";2;76,584;4;4;WAHR;"Wenn number mod dem Index der for-Schleife,
der sich von 2 bis 10 bewegt, 0 ist,
dann wird result auf false gesetzt und die Schleife
verlassen.
Da das aber nie der Fall ist, bleibt result auf true.";1;69,061;4;4;10;"Die 3 Zahlen werden verglichen und je nachdem,
wie der Vergleich ausfaellt, wird dann eine der 3
ausgeben.";1;79,961;3;2;16;"result bekommt den Wert von num1 zugewiesen.
In der for-Schleife wird dann result mit num1 multipliziert.
Da num2 3 ist, wird die for-Schleife 2 mal durchlaufen
und das Erbebnis ist 8 und nicht 16.";1;78,222;4;4;FALSCH;"j wird Wortlaenge  - 1, also 3 und i wird
Wortlaenge / 2, also 2.
Dann wird geprueft, ob die Buchstaben an Position
2 und 3  (0 indiziert) nicht gleich sind. Da t ungleich o ist,
wird result auf false gesetzt, die Schleife abgebrochen und ausgegen.";0;60,993;4;4;42;"temp bekommt den Wert von var1 zugewiesen,
var1 dann den von var2. Die vorletze Zeile ist fuer die 
Ausgabe nicht mehr relevant.";2;70,916;4;4;olleH;"Die for-Schleife weisst result die Spiegelung von
word zu.";2;97,371;0;0;;"x und y werden die Laengen der beiden Arrays zugewiesen,
die wiederrum selber Arrays enthalten.
x wird also 2 und y 3.
Danach werden die Werte im 2. Array mit dem aus
dem ersten multipliziert und zu result dazuaddiert.
Am Schluss wird dann das 2.dimensionale result-
Array ausgegeben.";0;21,836;4;4;6;"a und b werden addiert und die Summe dann
durch 2 geteilt und ausgegeben.";2;129,219;4;4;"Substring is contained: Java
Substring is not contained: Pascal";"index1 gibt die Stelle in word an, bei der
key1 gefunden wurde, genau so bei index2 und word.
Sofern ein Wort nicht enhalten ist, wird index -1.
Der erste Teilstring ist enhalten, der 2. nicht.";2;197,763;0;1;Error;"Zuerst wird geprueft, welche Zahl die grössere ist,
max wird somit 10 und min 7.
In der for-Schleife wird dann das maximum mit dem
bei 1 startenden Index der for-Schleife multipliziert
und das Ergebnis modulo dem Minimum gerechnet.
Wenn das 0 ergibt, dann wird result auf max*i gesetzt und
die Schleife verlassen.
Sofern result verändert wurde, dh. nicht mehr -1
ist, wird dieses ausgegeben, ansonsten Error.";0;90,865;2;3;Here Are A Bunch Of Words;Die ersten Buchstaben werden in Grossbuchstaben umgewandelt.;2;36,497;4;4;10;"Wenn i modulu 2 gerechnet 0 ergibt, wird eine 1 zum
String dazugetan, ansonsten eine 1.
Dann wird i halbiert.";0;35,844;4;4;1,6,4;"Da Arraylänge/2 1 ist und 1-1 0 ist, wird die for-Schleife
nur einmal durchlaufen und nicht wie vorher angenommen,
gar nicht.
Der erste und der letzt Wert im Array werden dann
vertauscht.";0;76,193;4;4;4,5;"Wenn die Arraylaenge mod 2 1 ist,
damm wird b der Wert im Array, der an der Position Arraylänge/2 ist,
ansonsten wird b der Wert an Position Arraylänge/2 + 1
+ Position Arraylänge/2.
Das ist 9, dsa ganze dann durch 2 ist 4.5";2;39,082;4;4;0, 3, 22, 28, 16;"Jeder Wert im Array wird mit dem Index, der bei 0
startet, multipliziert.";0;;24;
peTask;lrwer;97,56;2;2;16;"die while-Anweisung wird so oft durchlaufen, solange x>1 ist. 
Das Ergebnis was in result rauskommt wird anschließend ausgegeben.";0;129,637;2;2;1;"in der if-Anweisung wird zuerst die Länge der beiden Strings festgelegt.
in der for-Schleife werden die einzelnen Buchstaben der Strings auf die Gleichheit überprüft.
Wenn es zutrifft, werden die Stellen ausgegeben, die bei den beiden Strings gleich sind. ";2;204,073;2;2;3;"Zuerst werden die beiden if-Anweisungen überprüft.
In dem Fall stimmt die 2. if-Anweisung. 
Dann wird überprüft, ob temp ungleich 0 ist. In diesem Fall stimmt es. So jetzt werden
die Zahlen anders zugeordnet.";1;117,184;2;2;7, 5, 14;Hier werden die Positionen der Zahlen vertauscht. ;0;224,618;1;2;3;"Hier wird die Zahl aus dem array ausgegeben, die vorher durch
den int m berechnet worden ist.";0;78,226;2;2;10;"die for-Schleife wird solange ausgeführt bis i<= 4 ist. Und
solange wird das Ergebnis result ermittelt";2;124,785;2;2;19, 5, 17;das result gibt alle Zahlen des Arrays ab dem Index 1 aus.;0;85,534;2;2;2;Addition zweier Zahlen, wobei man vorher das Modulo der zweiten Zahl berechnen muss.;0;137,738;1;2;WAHR;die vergleicht den Restwert, falls es stimmt wird ein boolean-Wert ausgegeben;1;55,173;2;2;10;"Zahlenvergleich. Alle if-anweisungen überprüfen und falls es zutrifft, gibt das Programm
den jeweiligen Wert aus.";1;103,331;2;2;8;Produkt zweier Zahlen berechnen;1;79,22;2;2;WAHR;"hier werden die Buchstaben auf die Gleichheit verglichen
der 1. mit dem Letzten, der 2. mit dem Vorletzten";2;84,083;2;2;42;Vertauschen zweier Zahlen mit Hilfe von temp;2;94,243;2;2;olleh;der String word wird umgedreht;2;58,747;0;0;;;0;13,444;2;2;6;Zuerst wird die Addition zweier Zahlen ausgeführt und danach durch 2 dividiert;2;180,812;2;2;"Substring is not contained: Java
Substring is contained: Pascal";"die Strings key1 und key2 werden mit dem String word verglichen.
hier wird überprüft, ob das Wort in dem String word vorkommt";2;45,457;0;0;;;0;91,059;0;0;;;0;120,752;2;2;0;"die while-Schleife wird so oft ausgeführt solange i > 0 ist. Somit ist das
